weight_CDM,weight_HRF,weight_CRF,stormSeverity,rainfallSeverity,timeOfDay,threshold,self.evacuated_inside + self.evacuated_outside
0.1,0.7999999999999999,0.1,1,Yellow,Daytime,0.7,0
0.1,0.7999999999999999,0.1,1,Yellow,Daytime,0.7,0
0.1,0.7999999999999999,0.1,1,Yellow,Daytime,0.7,0
0.1,0.7999999999999999,0.1,1,Yellow,Daytime,0.7,0
0.1,0.7999999999999999,0.1,1,Yellow,Daytime,0.7,0
0.1,0.7999999999999999,0.1,1,Yellow,Daytime,0.7999999999999999,0
0.1,0.7999999999999999,0.1,1,Yellow,Daytime,0.7999999999999999,0
0.1,0.7999999999999999,0.1,1,Yellow,Daytime,0.7999999999999999,0
0.1,0.7999999999999999,0.1,1,Yellow,Daytime,0.7999999999999999,0
0.1,0.7999999999999999,0.1,1,Yellow,Daytime,0.7999999999999999,0
0.1,0.7999999999999999,0.1,1,Yellow,Daytime,0.8999999999999999,0
0.1,0.7999999999999999,0.1,1,Yellow,Daytime,0.8999999999999999,0
0.1,0.7999999999999999,0.1,1,Yellow,Daytime,0.8999999999999999,0
0.1,0.7999999999999999,0.1,1,Yellow,Daytime,0.8999999999999999,0
0.1,0.7999999999999999,0.1,1,Yellow,Daytime,0.8999999999999999,0
0.2,0.1,0.7,1,Yellow,Daytime,0.7,206
0.2,0.1,0.7,1,Yellow,Daytime,0.7,207
0.2,0.1,0.7,1,Yellow,Daytime,0.7,210
0.2,0.1,0.7,1,Yellow,Daytime,0.7,208
0.2,0.1,0.7,1,Yellow,Daytime,0.7,215
0.2,0.1,0.7,1,Yellow,Daytime,0.7999999999999999,6
0.2,0.1,0.7,1,Yellow,Daytime,0.7999999999999999,4
0.2,0.1,0.7,1,Yellow,Daytime,0.7999999999999999,6
0.2,0.1,0.7,1,Yellow,Daytime,0.7999999999999999,5
0.2,0.1,0.7,1,Yellow,Daytime,0.7999999999999999,5
0.2,0.1,0.7,1,Yellow,Daytime,0.8999999999999999,0
0.2,0.1,0.7,1,Yellow,Daytime,0.8999999999999999,0
0.2,0.1,0.7,1,Yellow,Daytime,0.8999999999999999,0
0.2,0.1,0.7,1,Yellow,Daytime,0.8999999999999999,0
0.2,0.1,0.7,1,Yellow,Daytime,0.8999999999999999,0
0.2,0.2,0.6,1,Yellow,Daytime,0.7,137
0.2,0.2,0.6,1,Yellow,Daytime,0.7,138
0.2,0.2,0.6,1,Yellow,Daytime,0.7,138
0.2,0.2,0.6,1,Yellow,Daytime,0.7,135
0.2,0.2,0.6,1,Yellow,Daytime,0.7,139
0.2,0.2,0.6,1,Yellow,Daytime,0.7999999999999999,0
0.2,0.2,0.6,1,Yellow,Daytime,0.7999999999999999,0
0.2,0.2,0.6,1,Yellow,Daytime,0.7999999999999999,0
0.2,0.2,0.6,1,Yellow,Daytime,0.7999999999999999,0
0.2,0.2,0.6,1,Yellow,Daytime,0.7999999999999999,0
0.2,0.2,0.6,1,Yellow,Daytime,0.8999999999999999,0
0.2,0.2,0.6,1,Yellow,Daytime,0.8999999999999999,0
0.2,0.2,0.6,1,Yellow,Daytime,0.8999999999999999,0
0.2,0.2,0.6,1,Yellow,Daytime,0.8999999999999999,0
0.2,0.2,0.6,1,Yellow,Daytime,0.8999999999999999,0
0.2,0.30000000000000004,0.5,1,Yellow,Daytime,0.7,103
0.2,0.30000000000000004,0.5,1,Yellow,Daytime,0.7,97
0.2,0.30000000000000004,0.5,1,Yellow,Daytime,0.7,96
0.2,0.30000000000000004,0.5,1,Yellow,Daytime,0.7,98
0.2,0.30000000000000004,0.5,1,Yellow,Daytime,0.7,95
0.2,0.30000000000000004,0.5,1,Yellow,Daytime,0.7999999999999999,0
0.2,0.30000000000000004,0.5,1,Yellow,Daytime,0.7999999999999999,0
0.2,0.30000000000000004,0.5,1,Yellow,Daytime,0.7999999999999999,0
0.2,0.30000000000000004,0.5,1,Yellow,Daytime,0.7999999999999999,0
0.2,0.30000000000000004,0.5,1,Yellow,Daytime,0.7999999999999999,0
0.2,0.30000000000000004,0.5,1,Yellow,Daytime,0.8999999999999999,0
0.2,0.30000000000000004,0.5,1,Yellow,Daytime,0.8999999999999999,0
0.2,0.30000000000000004,0.5,1,Yellow,Daytime,0.8999999999999999,0
0.2,0.30000000000000004,0.5,1,Yellow,Daytime,0.8999999999999999,0
0.2,0.30000000000000004,0.5,1,Yellow,Daytime,0.8999999999999999,0
0.2,0.4,0.4,1,Yellow,Daytime,0.7,5
0.2,0.4,0.4,1,Yellow,Daytime,0.7,5
0.2,0.4,0.4,1,Yellow,Daytime,0.7,5
0.2,0.4,0.4,1,Yellow,Daytime,0.7,5
0.2,0.4,0.4,1,Yellow,Daytime,0.7,6
0.2,0.4,0.4,1,Yellow,Daytime,0.7999999999999999,0
0.2,0.4,0.4,1,Yellow,Daytime,0.7999999999999999,0
0.2,0.4,0.4,1,Yellow,Daytime,0.7999999999999999,0
0.2,0.4,0.4,1,Yellow,Daytime,0.7999999999999999,0
0.2,0.4,0.4,1,Yellow,Daytime,0.7999999999999999,0
0.2,0.4,0.4,1,Yellow,Daytime,0.8999999999999999,0
0.2,0.4,0.4,1,Yellow,Daytime,0.8999999999999999,0
0.2,0.4,0.4,1,Yellow,Daytime,0.8999999999999999,0
0.2,0.4,0.4,1,Yellow,Daytime,0.8999999999999999,0
0.2,0.4,0.4,1,Yellow,Daytime,0.8999999999999999,0
0.2,0.5,0.30000000000000004,1,Yellow,Daytime,0.7,1
0.2,0.5,0.30000000000000004,1,Yellow,Daytime,0.7,1
0.2,0.5,0.30000000000000004,1,Yellow,Daytime,0.7,0
0.2,0.5,0.30000000000000004,1,Yellow,Daytime,0.7,0
0.2,0.5,0.30000000000000004,1,Yellow,Daytime,0.7,0
0.2,0.5,0.30000000000000004,1,Yellow,Daytime,0.7999999999999999,0
0.2,0.5,0.30000000000000004,1,Yellow,Daytime,0.7999999999999999,0
0.2,0.5,0.30000000000000004,1,Yellow,Daytime,0.7999999999999999,0
0.2,0.5,0.30000000000000004,1,Yellow,Daytime,0.7999999999999999,0
0.2,0.5,0.30000000000000004,1,Yellow,Daytime,0.7999999999999999,0
0.2,0.5,0.30000000000000004,1,Yellow,Daytime,0.8999999999999999,0
0.2,0.5,0.30000000000000004,1,Yellow,Daytime,0.8999999999999999,0
0.2,0.5,0.30000000000000004,1,Yellow,Daytime,0.8999999999999999,0
0.2,0.5,0.30000000000000004,1,Yellow,Daytime,0.8999999999999999,0
0.2,0.5,0.30000000000000004,1,Yellow,Daytime,0.8999999999999999,0
0.2,0.6,0.2,1,Yellow,Daytime,0.7,0
